ANIMAL;GRUPO;PESOSEM9;TADIPOSO REL;GLUC (mg/dL);COL(mg/dL);TG (mg/dL);ED-BDNF;ED-TrkB;ED-CRF;ED-CREB;Nac-BDNF;Nac-TrkB;Nac-CRF;Nac-CREB
1;2;487;7.8;110;51;83;0.626;6.126;0.020;0.1189;0.006;1.558;0.100;0.221
2;2;461;6.8;118;58;82;0.262;3.387;0.048;0.257;0.006;2.158;0.131;0.232
3;1;407;4.8;107;60;165;0.547;3.272;0.053;0.188;0.007;2.014;0.099;0.207
4;1;395;5.7;118;79;249;0.352;3.434;0.009;0.097;0.007;1.879;0.134;0.157
5;1;373;4.0;110;67;135;0.1091;12.729;0.212;0.1046;0.051;2.289;0.124;0.140
6;2;479;9.3;110;57;126;0.582;4.740;0.114;0.046;0.010;2.938;0.037;0.278
7;2;475;8.4;108;60;137;0.500;2.799;0.015;0.080;0.011;2.676;0.113;0.366
8;1;376;6.1;114;77;194;0.557;3.931;0.078;0.103;0.026;3.021;0.096;0.328
9;2;406;9.2;150;57;153;0.613;2.858;0.177;0.040;0.023;2.445;0.107;0.172
10;1;362;3.9;109;57;114;0.570;2.780;0.097;0.040;0.013;2.329;0.068;0.184
11;2;344;5.4;126;54;57;0.801;5.028;0.120;0.167;0.039;3.317;0.134;0.180
12;1;342;3.9;112;72;123;0.326;2.770;0.025;0.053;0.001;2.770;0.168;0.280
13;2;409;8.4;110;32;38;0.930;3.053;0.096;0.089;0.018;1.886;0.150;0.362
14;1;316;4.2;112;69;107;0.457;1.828;0.037;0.052;0.1390;2.427;0.4807;0.2621
15;1;332;4.2;116;66;74;0.331;6.704;0.025;0.607;0.006;2.938;0.123;0.262
16;2;421;8.7;121;45;53;0.512;2.612;0.073;0.247;0.020;2.428;0.116;0.279